Predicted_FRP,FRP_1_days_ago
-1.8037027,-2.0
-1.8038734,-2.0
-1.8038734,-2.0
-1.8038734,-2.0
-1.8039538,-2.0
-1.8039538,-2.0
-1.8034326,-2.0
-1.8034326,-2.0
-1.8034326,-2.0
-1.8027538,-2.0
-1.8027538,-2.0
-1.8012961,-2.0
-1.8012961,-2.0
-1.8012961,-2.0
-1.8000839,-2.0
-1.8000839,-2.0
-1.7998544,-2.0
-1.7998544,-2.0
-1.7998544,-2.0
-1.8020065,-2.0
-1.8020065,-2.0
-1.8066007,-2.0
-1.8066007,-2.0
-1.8066007,-2.0
-1.8120766,-2.0
-1.8120766,-2.0
-1.8228917,-2.0
-1.8228917,-2.0
-1.8228917,-2.0
-1.8381623,-2.0
-1.8381623,-2.0
-1.8508933,-2.0
-1.8508933,-2.0
-1.8508933,-2.0
-1.8661216,-2.0
-1.8661216,-2.0
-1.8932796,-2.0
-1.8932796,-2.0
-1.8932796,-2.0
-1.8944571,-2.0
-1.8944571,-2.0
-1.9234811,-2.0
-1.9234811,-2.0
-1.9234811,-2.0
-1.9706174,-2.0
-1.9706174,-2.0
-2.030199,-2.0
-2.030199,-2.0
-2.030199,-2.0
-2.0512083,-2.0
-2.0512083,-2.0
-2.0294478,-2.0
-2.0294478,-2.0
-2.0294478,-2.0
-2.0261238,-2.0
-2.0261238,-2.0
-1.9690632,-2.0
-1.9690632,-2.0
-1.9690632,-2.0
-1.9403706,-2.0
-1.9403706,-2.0
-1.9287348,-2.0
-1.9287348,-2.0
-1.9287348,-2.0
-1.9301972,-2.0
-1.9301972,-2.0
-1.9368844,-2.0
-1.9368844,-2.0
-1.9368844,-2.0
-1.9663401,-2.0
-1.9663401,-2.0
-1.9953465,-2.0
-1.9953465,-2.0
-1.9953465,-2.0
-1.9970613,-2.0
-1.9970613,-2.0
-2.0467043,-2.0
-2.0467043,-2.0
-2.0467043,-2.0
-2.0666714,-2.0
-2.0666714,-2.0
-2.0708447,-2.0
-2.0708447,-2.0
-2.0708447,-2.0
-2.0725076,-2.0
-2.0725076,-2.0
-2.0741882,-2.0
-2.0741882,-2.0
-2.0741882,-2.0
-2.0761757,-2.0
-2.0761757,-2.0
-2.0795183,-2.0
-2.0795183,-2.0
-2.0795183,-2.0
-2.0854497,-2.0
-2.0854497,-2.0
-2.0869546,-2.0
-2.0869546,-2.0
-2.0869546,-2.0
-2.0863047,-2.0
-2.0863047,-2.0
-2.0899653,-2.0
-2.0899653,-2.0
-2.0899653,-2.0
-2.0908427,-2.0
-2.0908427,-2.0
-2.087285,-2.0
-2.087285,-2.0
-2.087285,-2.0
-2.089171,-2.0
-2.089171,-2.0
-2.0892923,-2.0
-1.9990096,-2.0
-1.9990096,-2.0
-1.9094812,-2.0
-1.9094812,-2.0
-1.9125392,-2.0
-1.9125392,-2.0
-1.9125392,-2.0
-1.9256179,-2.0
-1.9256179,-2.0
-1.9331083,-2.0
-1.9331083,-2.0
-1.9331083,-2.0
-1.9295563,-2.0
-1.8881364,-2.0
-2.1109233,0.9162482811624796
-2.1109233,-2.0
-2.108696,-2.0
-2.0971882,-2.0
-2.0971882,-2.0
-2.1122808,-2.0
-2.1122808,-2.0
-2.1122808,-2.0
-2.1286933,-2.0
-2.1286933,-2.0
-2.1440377,-2.0
-2.1440377,-2.0
-2.1440377,-2.0
-2.1487098,-2.0
-2.1487098,-2.0
-2.144353,-2.0
-2.144353,-2.0
-2.144353,-2.0
-2.146772,-2.0
-2.146772,-2.0
-2.1496377,-2.0
-2.1496377,-2.0
-2.1496377,-2.0
-2.145143,-2.0
-2.145143,-2.0
-2.1355371,-2.0
-2.1355705,-2.0
-2.0482895,-2.0
-1.7227061,-2.0
-1.7325999,1.289391000243116
-1.7772934,1.6112457144512529
-1.9133399,-2.0
-1.8835993,-2.0
-1.9262203,-2.0
-1.9262006,-2.0
-1.9174242,-2.0
-1.9175644,-2.0
-1.9175644,-2.0
-1.9212017,-2.0
-1.9209294,-2.0
-1.9357662,-2.0
-1.9354616,-2.0
-1.9354616,-2.0
-1.9682716,-2.0
-1.9682716,-2.0
-2.0042274,-2.0
-2.0042274,-2.0
-2.0042274,-2.0
-2.007413,-2.0
-2.007413,-2.0
-2.0157683,-2.0
-2.0157683,-2.0
-2.0160635,-2.0
-2.0127027,-2.0
-2.0123568,-2.0
-2.0079944,-2.0
-2.0079944,-2.0
-2.0079944,-2.0
-2.0239148,-2.0
-2.0222912,-2.0
-2.0178885,-2.0
-2.0178885,-2.0
-2.0178885,-2.0
-2.0320697,-2.0
-2.030299,-2.0
-1.988238,-2.0
-1.988238,-2.0
-1.988238,-2.0
-1.9769557,-2.0
-1.9769557,-2.0
-1.9685891,-2.0
-1.9685891,-2.0
-1.9678481,-2.0
-1.8866028,-2.0
-1.8866028,-2.0
-1.8616059,-2.0
-1.8616059,-2.0
-1.8616059,-2.0
-1.8825891,-2.0
-1.8825891,-2.0
-1.9021227,-2.0
-1.9021227,-2.0
-1.9021227,-2.0
-1.9206762,-2.0
-1.9178693,-2.0
-1.9365425,-2.0
-1.9365425,-2.0
-1.9365425,-2.0
-1.9979806,-2.0
-1.9979806,-2.0
-2.054635,-2.0
-2.054635,-2.0
-2.054635,-2.0
-2.0488052,-2.0
-2.0488052,-2.0
-2.0230074,-2.0
-2.0230074,-2.0
-2.0230074,-2.0
-2.0432782,-2.0
-2.045336,-2.0
-2.0462592,-2.0
-2.0462592,-2.0
-2.0462592,-2.0
-2.025913,-2.0
-2.0254009,-2.0
-1.9878235,-2.0
-1.9877075,-2.0
-1.9877075,-2.0
-1.9702466,-2.0
-1.9705231,-2.0
-1.9845728,-2.0
-1.9845728,-2.0
-1.9845728,-2.0
-1.9912623,-2.0
-1.9912623,-2.0
-2.018154,-2.0
-2.018154,-2.0
-2.018154,-2.0
-2.0098946,-2.0
-2.0098946,-2.0
-2.0133715,-2.0
-2.0133715,-2.0
-2.0133715,-2.0
-2.0136003,-2.0
-2.0136003,-2.0
-2.0106862,-2.0
-2.0106862,-2.0
-2.0106862,-2.0
-2.0056112,-2.0
-1.9954967,-2.0
-2.2448697,-2.0
-2.2448697,-2.0
-2.2448697,-2.0
-2.2394743,-2.0
-2.2394743,-2.0
-2.2003498,-2.0
-2.2003498,-2.0
-2.2003498,-2.0
-2.1832852,-2.0
-2.1832852,-2.0
-2.173839,-2.0
-2.173839,-2.0
-2.173839,-2.0
-2.1443229,-2.0
-2.1443229,-2.0
-2.1138566,-2.0
-2.1138566,-2.0
-2.1138566,-2.0
-2.0702298,-2.0
-2.0702298,-2.0
-2.065785,-2.0
-2.065785,-2.0
-2.065785,-2.0
-2.0358105,-2.0
-2.0358105,-2.0
-2.0142424,-2.0
-2.0142424,-2.0
-2.0142424,-2.0
-1.9880457,-2.0
-1.9880457,-2.0
-1.9745388,-2.0
-1.9745388,-2.0
-1.9745388,-2.0
-1.9595797,-2.0
-1.9595797,-2.0
-1.9439108,-2.0
-1.9439108,-2.0
-1.9439108,-2.0
-1.9193645,-2.0
-1.9193645,-2.0
-1.9152343,-2.0
-1.9152343,-2.0
-1.9152343,-2.0
-1.9135519,-2.0
-1.9135519,-2.0
-1.9194818,-2.0
-1.9194818,-2.0
-1.9194818,-2.0
-1.9195905,-2.0
-1.9195905,-2.0
-1.9191198,-2.0
-1.9191198,-2.0
-1.9191198,-2.0
-1.9189522,-2.0
-1.9189522,-2.0
-1.9182878,-2.0
-1.9182878,-2.0
-1.9182878,-2.0
-1.9183763,-2.0
-1.9183763,-2.0
-1.950203,-2.0
-1.950203,-2.0
-1.950203,-2.0
-1.9562429,-2.0
-1.9562429,-2.0
-1.9396759,-2.0
-1.9396759,-2.0
-1.9396759,-2.0
-1.9266701,-2.0
-1.9266701,-2.0
-1.9194548,-2.0
-1.9194548,-2.0
-1.9194548,-2.0
-1.9154992,-2.0
-1.9154992,-2.0
-1.9150357,-2.0
-1.9150357,-2.0
-1.9150357,-2.0
-1.9148111,-2.0
-1.9148111,-2.0
-1.9146445,-2.0
-1.9146445,-2.0
-1.9146445,-2.0
-1.9144068,-2.0
-1.9144068,-2.0
-1.9139276,-2.0
-1.9139276,-2.0
-1.9139276,-2.0
-1.913357,-2.0
-1.913357,-2.0
-1.9122982,-2.0
-1.9122982,-2.0
-1.9122982,-2.0
-1.9115598,-2.0
-1.9115598,-2.0
-1.910922,-2.0
-1.910922,-2.0
-1.910922,-2.0
-1.9103305,-2.0
-1.9103305,-2.0
-1.9100015,-2.0
-1.9100015,-2.0
-1.9100015,-2.0
-1.9097981,-2.0
-1.9097981,-2.0
-1.9156373,-2.0
-1.9156373,-2.0
-1.9156373,-2.0
-1.9251075,-2.0
-1.9251075,-2.0
-1.9331903,-2.0
-1.9331903,-2.0
-1.9331903,-2.0
-1.9333099,-2.0
-1.9333099,-2.0
-1.9260666,-2.0
-1.9260666,-2.0
-1.9260666,-2.0
-1.9214287,-2.0
-1.9214287,-2.0
-1.9182584,-2.0
-1.9182584,-2.0
-1.9182584,-2.0
-1.9169712,-2.0
-1.9169712,-2.0
-1.9180664,-2.0
-1.9180664,-2.0
-1.9180664,-2.0
-1.9194176,-2.0
-1.9194176,-2.0
-1.9224763,-2.0
-1.9224763,-2.0
-1.9224763,-2.0
-1.9334741,-2.0
-1.9334741,-2.0
-1.9475965,-2.0
-1.9475965,-2.0
-1.9475965,-2.0
-1.9592254,-2.0
-1.9592254,-2.0
-1.9652555,-2.0
-1.9652555,-2.0
-1.9652555,-2.0
-1.9663234,-2.0
-1.9663234,-2.0
-1.9669673,-2.0
-1.9669673,-2.0
-1.9669673,-2.0
-1.9703444,-2.0
-1.9703444,-2.0
-1.9641887,-2.0
-1.9641887,-2.0
-1.9641887,-2.0
-1.94966,-2.0
-1.94966,-2.0
-1.9369831,-2.0
-1.9369831,-2.0
-1.9369831,-2.0
-1.9301877,-2.0
-1.9301877,-2.0
-1.9195342,-2.0
-1.9195342,-2.0
-1.9195342,-2.0
-1.905788,-2.0
-1.905788,-2.0
-1.9058752,-2.0
-1.9058752,-2.0
-1.9058752,-2.0
-1.9057832,-2.0
-1.9057832,-2.0
-1.9045992,-2.0
-1.9045992,-2.0
-1.9045992,-2.0
-1.8988922,-2.0
-1.8988922,-2.0
-1.8961279,-2.0
-1.8961279,-2.0
-1.8961279,-2.0
-1.8952141,-2.0
-1.8952141,-2.0
-1.8947531,-2.0
-1.8947531,-2.0
-1.8947531,-2.0
-1.8933057,-2.0
-1.8933057,-2.0
-1.8884639,-2.0
-1.8884639,-2.0
-1.8884639,-2.0
-1.8810706,-2.0
-1.8810706,-2.0
-1.8720354,-2.0
-1.8720354,-2.0
-1.8720354,-2.0
-1.8909421,-2.0
-1.8909421,-2.0
-1.890949,-2.0
-1.890949,-2.0
-1.890949,-2.0
-1.8588431,-2.0
-1.8588431,-2.0
-1.8578326,-2.0
-1.8578326,-2.0
-1.8578326,-2.0
-1.8589416,-2.0
-1.8589416,-2.0
-1.8612487,-2.0
-1.8612487,-2.0
-1.8612487,-2.0
-1.864537,-2.0
-1.864537,-2.0
-1.8684558,-2.0
-1.8684558,-2.0
-1.8684558,-2.0
-1.8734491,-2.0
-1.8734491,-2.0
-1.8783069,-2.0
-1.8783069,-2.0
-1.8783069,-2.0
-1.8832686,-2.0
-1.8832686,-2.0
-1.8884606,-2.0
-1.8884606,-2.0
-1.8884606,-2.0
-1.8916422,-2.0
-1.8916422,-2.0
-1.89347,-2.0
-1.89347,-2.0
-1.89347,-2.0
-1.8966597,-2.0
-1.8966597,-2.0
-1.9011648,-2.0
-1.9011648,-2.0
-1.9011648,-2.0
-1.9070809,-2.0
-1.9070809,-2.0
-1.9071839,-2.0
-1.9071839,-2.0
-1.9071839,-2.0
-1.9068983,-2.0
-1.9068983,-2.0
-1.9064877,-2.0
-1.9064877,-2.0
-1.9064877,-2.0
-1.9063032,-2.0
-1.9063032,-2.0
-1.9059219,-2.0
-1.9059219,-2.0
-1.9059219,-2.0
-1.905632,-2.0
-1.905632,-2.0
-1.9060035,-2.0
-1.9060035,-2.0
-1.9060035,-2.0
-1.9062972,-2.0
-1.9062972,-2.0
-1.9061496,-2.0
-1.9061496,-2.0
-1.9061496,-2.0
-1.9060557,-2.0
-1.9060557,-2.0
-1.9059007,-2.0
-1.9059007,-2.0
-1.9059007,-2.0
-1.9056618,-2.0
-1.9056618,-2.0
-1.9054408,-2.0
-1.9054408,-2.0
-1.9054408,-2.0
-1.9049585,-2.0
-1.9049585,-2.0
-1.9047053,-2.0
-1.9047053,-2.0
-1.9047053,-2.0
-1.9044657,-2.0
-1.9044657,-2.0
-1.9043255,-2.0
-1.9043255,-2.0
-1.9043255,-2.0
-1.9043918,-2.0
-1.9043918,-2.0
-1.9040525,-2.0
-1.9040525,-2.0
-1.9040525,-2.0
-1.9033256,-2.0
-1.9033256,-2.0
-1.903322,-2.0
-1.903322,-2.0
-1.903322,-2.0
-1.9038157,-2.0
-1.9038157,-2.0
-1.9044461,-2.0
-1.9044461,-2.0
-1.9044461,-2.0
-1.904434,-2.0
